Id,SalePrice
1461,126445.63
1462,151147.98
1463,186221.34
1464,207257.94
1465,181064.64
1466,154047.28
1467,173256.75
1468,164840.89
1469,194905.66
1470,139921.67
1471,185833.83
1472,96070.56
1473,97275.3
1474,149888.45
1475,121358.734
1476,361497.6
1477,265389.47
1478,330105.06
1479,326443.75
1480,405629.25
1481,320788.75
1482,194810.84
1483,181928.28
1484,181160.67
1485,174026.75
1486,191193.0
1487,330389.12
1488,232445.14
1489,206358.75
1490,252953.92
1491,192794.7
1492,84331.41
1493,180104.8
1494,290544.47
1495,271861.72
1496,264028.5
1497,173429.62
1498,161752.31
1499,162645.84
1500,155410.55
1501,196580.7
1502,164201.8
1503,254703.19
1504,250839.25
1505,232645.97
1506,199258.92
1507,251988.56
1508,213336.64
1509,159133.4
1510,151623.03
1511,135685.11
1512,172346.75
1513,146724.8
1514,149135.6
1515,192771.17
1516,133245.73
1517,158734.78
1518,138100.78
1519,212016.86
1520,133355.66
1521,129446.56
1522,170033.23
1523,116210.414
1524,112721.63
1525,131621.48
1526,99744.23
1527,111354.29
1528,119552.2
1529,142451.78
1530,196691.03
1531,107704.77
1532,105358.95
1533,139227.7
1534,118701.336
1535,164286.33
1536,96364.76
1537,75961.49
1538,161841.12
1539,188220.31
1540,114723.74
1541,138302.14
1542,130116.32
1543,223114.11
1544,84726.22
1545,114568.57
1546,153088.56
1547,136351.16
1548,136156.58
1549,117762.67
1550,140248.67
1551,107471.89
1552,144979.81
1553,145646.6
1554,124574.94
1555,181604.22
1556,120769.234
1557,99193.32
1558,92376.42
1559,89331.164
1560,113625.56
1561,110713.93
1562,132334.17
1563,125570.36
1564,175138.88
1565,151931.94
1566,288151.38
1567,68874.12
1568,218329.81
1569,152405.38
1570,147395.72
1571,120407.94
1572,138682.83
1573,226497.1
1574,132363.83
1575,249645.33
1576,260332.88
1577,211244.12
1578,125596.484
1579,157248.64
1580,200956.0
1581,135918.03
1582,126165.52
1583,292955.2
1584,234895.53
1585,152874.73
1586,66171.31
1587,98058.17
1588,161597.33
1589,108486.02
1590,140280.6
1591,95449.82
1592,124434.016
1593,133970.22
1594,137775.81
1595,94309.484
1596,200094.89
1597,205983.14
1598,187794.55
1599,166949.38
1600,179039.98
1601,75545.195
1602,127026.85
1603,87869.29
1604,277585.97
1605,240496.14
1606,169116.17
1607,192156.17
1608,240488.55
1609,219773.4
1610,167321.52
1611,136095.75
1612,182878.17
1613,177251.42
1614,130093.71
1615,93638.45
1616,66641.72
1617,87155.125
1618,125220.984
1619,125693.06
1620,238165.12
1621,142787.11
